"ID","Fwy","Dir","District","County","City","State_PM","Abs_PM","Latitude","Longitude","Length","Type","Lanes","Name","User_ID_1","User_ID_2","User_ID_3","User_ID_4"
404408,80,"W",4,95,81666,"2.73",30.202,38.098694,-122.22989,0.265,"ML",3,"W of Georgia St.","DT059","L3-W-23-080-00273","080236",421462
404409,80,"W",4,95,81666,"3.98",31.452,38.116679,-122.230224,0.485,"ML",3,"Between Redwood Rd/Tennesse St","DT061","L3-W-23-080-00398","802248",421472
404410,80,"W",4,95,81666,"4.37",31.842,38.122301,-122.230238,0.27,"ML",3,"Redwood St on-w-diag","DT062","L3-W-23-080-00437","999027",421477
404411,80,"W",4,95,81666,"4.52",31.992,38.124386,-122.229495,0.095,"ML",3,"1000' E of Redwood prkwy","DT063","L3-W-23-080-00452","080259",421482
404413,80,"W",4,95,23182,"17.09",44.573,38.248687,-122.071376,0.715,"ML",4,"Rockville rd rm-w-diag","DT074","L4-W-23-080-01709","080328",419520
404414,80,"W",4,13,NA,"5.079",18.412,37.96473,-122.325209,0.339,"ML",4,"W of El Portal Drive","DT466","L4-W-28-080-00521","080182",419718
404415,80,"W",4,1,53000,"1.22",6.53,37.821688,-122.327712,0.14,"ML",5,"Base of the Bay Bridge","DT648","L5-W-33-080-00122","998966",433966
404416,80,"W",4,1,53000,"1.43",6.74,37.822342,-122.323875,0.595,"ML",5,"1400' E of Bay Bridge","DT349","L5-W-33-080-00143","996901",433976
404883,80,"W",4,75,67000,"8.24",4.7,37.814051,-122.359471,0.105,"ML",5,"SFOBB East Span","DTD43","U5-W-34-080-00824","997305",436245
404884,80,"W",4,75,67000,"8.45",4.91,37.815201,-122.355938,0.145,"ML",5,"SFOBB East Span","DTD45","U5-W-34-080-00845","997309",436259
404887,80,"W",4,75,67000,"8.73",5.19,37.816738,-122.351227,0.095,"ML",5,"SFOBB East Span","DTD47","U5-W-34-080-00873","997313",436273
404888,80,"W",4,1,67000,".07",5.38,37.817784,-122.34803,0.07,"ML",5,"SFOBB East Span","DTD49","U5-W-33-080-00007","997317",436287
404890,80,"W",4,1,53000,".36",5.67,37.819267,-122.343098,0.145,"ML",5,"SFOBB East Span","DTD51","U5-W-33-080-00036","997321",436301
404893,80,"W",4,1,53000,".56",5.87,37.819855,-122.33953,0.115,"ML",5,"SFOBB East Span","DTD53","U5-W-33-080-00056","997325",436316
404895,80,"W",4,1,53000,".84",6.15,37.820638,-122.334519,0.11,"ML",5,"SFOBB East Span","DTD55","U5-W-33-080-00084","997329",436330
404905,80,"W",4,75,67000,"8.63",5.09,37.816189,-122.352909,0.14,"ML",5,"SFOBB East Span","DTD66","L5-W-34-080-00863","997312",436266
404907,80,"W",4,75,67000,"8.82",5.28,37.817231,-122.349713,0.165,"ML",5,"SFOBB East Span","DTD68","L5-W-34-080-00882","997316",436280
404909,80,"W",4,1,67000,".17",5.48,37.81834,-122.346347,0.175,"ML",5,"SFOBB East Span","DTD70","L5-W-33-080-00017","997320",436294
404911,80,"W",4,1,53000,".46",5.77,37.819575,-122.34132,0.1,"ML",5,"SFOBB East Span","DTD72","L5-W-33-080-00046","997324",436309
404913,80,"W",4,1,53000,".69",6,37.820219,-122.337204,0.14,"ML",5,"SFOBB East Span","DTD74","L5-W-33-080-00069","997328",436323
404915,80,"W",4,1,53000,".91",6.22,37.82083,-122.333266,0.11,"ML",5,"SFOBB East Span","DTD76","L5-W-33-080-00091","997332",436337
404916,80,"W",4,1,53000,"1.06",6.37,37.821241,-122.330579,0.12,"ML",5,"SFOBB East Span","DTD77","L5-W-33-080-00106","997334",436344
404917,80,"W",4,1,53000,"1.15",6.46,37.82149,-122.328967,0.08,"ML",5,"SFOBB East Span","DTD78","L5-W-33-080-00115","997336",436351
404918,80,"W",4,75,67000,"8.02",4.48,37.812318,-122.362743,0.645,"ML",5,"SFOBB East Span","DTD60","L5-W-34-080-00802","997301",436229
404920,80,"W",4,75,67000,"8.13",4.59,37.813382,-122.361274,0.11,"ML",5,"SFOBB East Span","DTD62","L5-W-34-080-00813","997304",436238
404922,80,"W",4,75,67000,"8.34",4.8,37.814597,-122.357787,0.105,"ML",5,"SFOBB East Span","DTD64","U5-W-34-080-00834","997308",436252
405602,80,"W",4,1,22594,"4.39",9.7,37.846565,-122.298515,0.385,"ML",5,"Ashby ave rm-w-fly","DT3A7","L5-W-33-080-00439","997011",427260
405763,80,"W",4,13,60620,"3.744",17.077,37.947988,-122.325817,0.325,"ML",4,"On Amador St W of McBryde Ave","DT115","L4-W-28-080-00374","998957",437054
406660,80,"W",4,13,60620,"4.2",17.533,37.954132,-122.3289,0.249,"ML",4,"San Pablo Dam Rd rm-w-diag","DT167","L4-W-28-080-00420","080176",437568
407750,80,"W",4,1,53000,"2.42",7.73,37.825306,-122.306251,0.125,"ML",1,"WB 80 HOV ramp","DT650","L1-W-33-080-00242","999547",423869
407882,80,"W",4,1,6000,"6.19",11.5,37.871671,-122.305506,0.154,"ML",5,"N of university ave","DTEST","L5-W-33-080-00619","999555",438547
407883,80,"W",4,95,81666,"4.56",32.032,38.124914,-122.229194,0.5,"ML",3,"Redwood Rd on-e-hook","DT8B2","L3-W-23-080-00456","999554",438594
408473,80,"W",4,95,81554,"26.77",54.251,38.357776,-121.97501,0.505,"ML",4,"1200' W of Allison Dr","DT8F1","L4-W-23-080-02677","999576",439059
408790,80,"W",4,95,81554,"25.38",52.861,38.346893,-121.996082,0.335,"ML",4,"1/4 mi. E of Alamo Dr OC","DT8E6","L4-W-23-080-02538","999584",440118
409107,80,"W",4,95,81666,"3.16",30.632,38.104864,-122.229808,0.285,"ML",3,"oppo Solano Ave/Springs Rd OC","DT804","L3-W-23-080-00316","999588",440273
409232,80,"W",4,95,NA,"22.46",49.943,38.316871,-122.031008,0.535,"ML",4,"1200' W of Lagoon Valley Rd OC","DT8D7","L4-W-23-080-02246","999591",440289
409584,80,"W",4,13,60620,".23",13.563,37.900816,-122.310886,0.268,"ML",4,"Central Ave rm-w-diag","DT461","L4-W-28-080-00023","080158",419646
409786,80,"W",4,13,68294,"4.82",18.153,37.962454,-122.328958,0.26,"ML",4,"El Portal Dr","DT868","L4-W-28-080-00482","883320",419712
410779,80,"W",4,95,23182,"18.99",46.473,38.271273,-122.051651,0.78,"ML",5,"Waterman Blvd rm-w-diag","DTC61","L5-W-23-080-01899","999727",441313
410782,80,"W",4,95,NA,"16.06",43.543,38.241901,-122.088193,0.79,"ML",5,"Abernathy Rd rm-w-diag","DTC58","L5-W-23-080-01606","999725",441342
410786,80,"W",4,95,81554,"28.19",55.671,38.371532,-121.955582,0.525,"ML",4,"SB 505 rm-w-conn","DT8F7","L4-W-23-080-02819","999719",441468
410788,80,"W",4,95,81554,"27.33",54.811,38.362974,-121.96711,0.365,"ML",4,"Allison Dr rm-w-hook","DT8F3","L4-W-23-080-02733","999717",441485
410790,80,"W",4,95,23182,"11.9",39.372,38.207525,-122.151042,0.66,"ML",5,"oppo EB 12 OC","DTB68","L5-W-23-080-01190","999724",441365
410791,80,"W",4,95,NA,"15.51",42.993,38.23801,-122.097046,0.545,"ML",5,"WB 12 rm-w-diag","DTB67","L5-W-23-080-01551","999722",441372
410803,80,"W",4,95,23182,"21.05",48.533,38.296973,-122.03414,0.2,"ML",4,"Manuel Campos Pkwy rm-w-loop","DT8D3","L4-W-23-080-02105","999708",441524
410805,80,"W",4,95,81554,"26.32",53.801,38.353019,-121.980638,0.245,"ML",4,"Depot Rd rm-w-diag","DT8E9","L4-W-23-080-02632","999715",441514
410808,80,"W",4,95,81554,"25.85",53.331,38.349933,-121.988342,0.23,"ML",4,"Hickory Lane rm-w-diag","DT8E7","L4-W-23-080-02585","999713",441551
410811,80,"W",4,95,81554,"25.13",52.611,38.345308,-122.000218,0.24,"ML",4,"Merchant St rm-w-diag","DT8E4","L4-W-23-080-02513","999712",441562
410814,80,"W",4,95,NA,"23.78",51.261,38.33359,-122.018792,0.27,"ML",4,"Cherry Glen Rd rm-w-diag","DT8E1","L4-W-23-080-02378","999711",441574
410817,80,"W",4,95,NA,"23.07",50.553,38.324228,-122.024773,0.479,"ML",4,"Lagoon Valley Rd rm-w-diag","DT8D8","L4-W-23-080-02307","999709",441593
410820,80,"W",4,95,NA,"8.05",35.522,38.169003,-122.200897,1.02,"ML",4,"American Canyon Rd rm-w-diag","DT8C1","L4-W-23-080-00805","997115",419490
410824,80,"W",4,95,NA,"8.54",36.012,38.173742,-122.194192,0.48,"ML",4,"1/2 m. E of American Canyon Rd","DT8C3","L4-W-23-080-00854","999701",441392
410825,80,"W",4,95,NA,"9.01",36.482,38.179234,-122.189127,0.545,"ML",4,"5000' E of American Canyon Rd","DT8C4","L4-W-23-080-00901","999703",441403
